name,mass,radius,orbital_period,discovered,detection_type,star_name,ra,dec,star_distance,star_mass,star_radius
Kepler-183 b,,0.184,5.687945,2014,Primary Transit,Kepler-183,293.53085325,39.315899,,,0.96
Kepler-183 c,,0.203,11.637071,2014,Primary Transit,Kepler-183,293.53085325,39.315899,,,0.96
Kepler-184 b,,0.211,10.687576,2014,Primary Transit,Kepler-184,291.95190435,43.074715,,,0.87
Kepler-184 c,,0.176,20.303005,2014,Primary Transit,Kepler-184,291.95190435,43.074715,,,0.87
Kepler-184 d,,0.222,29.022358,2014,Primary Transit,Kepler-184,291.95190435,43.074715,,,0.87
Kepler-185 b,,0.104,1.6329,2014,Primary Transit,Kepler-185,282.4681092,43.889915,,0.79,0.81
Kepler-185 c,,0.18,20.729042,2014,Primary Transit,Kepler-185,282.4681092,43.889915,,0.79,0.81
Kepler-186 b,,0.102,3.886803,2014,Primary Transit,Kepler-186,298.6527099,43.955017,151.0,0.478,0.472
Kepler-186 c,,0.12,7.267277,2014,Primary Transit,Kepler-186,298.6527099,43.955017,151.0,0.478,0.472
Kepler-186 d,,0.139,13.343058,2014,Primary Transit,Kepler-186,298.6527099,43.955017,151.0,0.478,0.472
Kepler-186 e,,0.119,22.407793,2014,Primary Transit,Kepler-186,298.6527099,43.955017,151.0,0.478,0.472
Kepler-186 f,,0.0990277438268,129.9459,2014,Primary Transit,Kepler-186,298.6527099,43.955017,151.0,0.478,0.472
Kepler-187 b,,0.126,4.938864,2014,Primary Transit,Kepler-187,299.79644775,44.089306,,0.85,1.29
Kepler-187 c,,0.238,10.640263,2014,Primary Transit,Kepler-187,299.79644775,44.089306,,0.85,1.29
Kepler-188 b,,0.15,2.061897,2014,Primary Transit,Kepler-188,281.27972415,44.315533,,,1.14
Kepler-188 c,,0.285,5.996553,2014,Primary Transit,Kepler-188,281.27972415,44.315533,,,1.14
Kepler-189 b,,0.108,10.399931,2014,Primary Transit,Kepler-189,287.56472775,44.305004,,0.79,0.75
Kepler-189 c,,0.212,20.134866,2014,Primary Transit,Kepler-189,287.56472775,44.305004,,0.79,0.75
Kepler-19 b,0.026,0.198,9.2869944,2011,Primary Transit,Kepler-19,290.4208333,37.8516667,,0.936,0.85
Kepler-19 c,0.0412,,28.731,2011,Other,Kepler-19,290.4208333,37.8516667,,0.936,0.85
Kepler-19 d,0.0708,,62.95,2017,Radial Velocity,Kepler-19,290.4208333,37.8516667,,0.936,0.85
Kepler-190 b,,0.139,2.019999,2014,Primary Transit,Kepler-190,288.5840454,44.733799,,0.84,0.8
Kepler-190 c,,0.13,3.763024,2014,Primary Transit,Kepler-190,288.5840454,44.733799,,0.84,0.8
Kepler-191 b,,0.12,9.939632,2014,Primary Transit,Kepler-191,291.1833801,45.323177,,0.85,0.79
Kepler-191 c,,0.166,17.738506,2014,Primary Transit,Kepler-191,291.1833801,45.323177,,0.85,0.79
Kepler-191 d,,0.203,5.94504102,2016,Primary Transit,Kepler-191,291.1833801,45.323177,,0.85,0.79
Kepler-192 b,,0.244,9.926746,2014,Primary Transit,Kepler-192,287.9179383,45.592876,,,1.01
Kepler-192 c,,0.249,21.2234,2014,Primary Transit,Kepler-192,287.9179383,45.592876,,,1.01
Kepler-192 d,,0.091,6.47027579,2016,Primary Transit,Kepler-192,287.9179383,45.592876,,,1.01
Kepler-193 b,,0.213,11.38848,2014,Primary Transit,Kepler-193,296.4985962,46.577244,,,1.15
Kepler-193 c,,0.245,50.697494,2014,Primary Transit,Kepler-193,296.4985962,46.577244,,,1.15
Kepler-194 b,,0.135,2.092281,2014,Primary Transit,Kepler-194,291.97143555,47.864174,,,1.02
Kepler-194 c,,0.231,17.308032,2014,Primary Transit,Kepler-194,291.97143555,47.864174,,,1.02
Kepler-194 d,,0.214,52.814973,2014,Primary Transit,Kepler-194,291.97143555,47.864174,,,1.02
Kepler-195 b,,0.181,8.307872,2014,Primary Transit,Kepler-195,288.1209717,47.966667,,,0.78
Kepler-195 c,,0.138,34.096863,2014,Primary Transit,Kepler-195,288.1209717,47.966667,,,0.78
Kepler-196 b,,0.17,20.739886,2014,Primary Transit,Kepler-196,284.96850585,42.079205,,,0.78
Kepler-196 c,,0.2,47.427737,2014,Primary Transit,Kepler-196,284.96850585,42.079205,,,0.78
Kepler-197 b,,0.09492,5.599293,2014,Primary Transit,Kepler-197,295.2264405,50.559006,,,1.12
Kepler-197 c,0.017,0.1078,10.349711,2014,Primary Transit,Kepler-197,295.2264405,50.559006,,,1.12
Kepler-197 d,,0.111,15.67787,2014,Primary Transit,Kepler-197,295.2264405,50.559006,,,1.12
Kepler-197 e,,0.0877,25.2097,2014,Primary Transit,Kepler-197,295.2264405,50.559006,,,1.12
Kepler-198 b,,0.252,17.790037,2014,Primary Transit,Kepler-198,290.67312615,38.69101,,0.93,0.94
Kepler-198 c,,0.22,49.567416,2014,Primary Transit,Kepler-198,290.67312615,38.69101,,0.93,0.94
Kepler-198 d,,0.136,1.31184443,2016,Primary Transit,Kepler-198,290.67312615,38.69101,,0.93,0.94
Kepler-199 b,,0.277,23.637604,2014,Primary Transit,Kepler-199,295.5594177,40.236271,,,0.97
Kepler-199 c,,0.29,67.093408,2014,Primary Transit,Kepler-199,295.5594177,40.236271,,,0.97
Kepler-20 b,0.0305,0.1667,3.69611525,2011,Primary Transit,Kepler-20,287.7,42.3386111,290.0,0.912,0.944
Kepler-20 c,0.04012,0.2718,10.85409089,2011,Primary Transit,Kepler-20,287.7,42.3386111,290.0,0.912,0.944
Kepler-20 d,0.03168,0.2448,77.61130017,2011,Primary Transit,Kepler-20,287.7,42.3386111,290.0,0.912,0.944
Kepler-20 e,0.0097,0.0772,6.09852281,2011,Primary Transit,Kepler-20,287.7,42.3386111,290.0,0.912,0.944
Kepler-20 f,0.045,0.08948,19.57758478,2011,Primary Transit,Kepler-20,287.7,42.3386111,290.0,0.912,0.944
Kepler-20 g,0.0628,,34.94,2016,Other,Kepler-20,287.7,42.3386111,290.0,0.912,0.944
Kepler-200 b,,0.19,8.594805,2014,Primary Transit,Kepler-200,284.40991215,41.237465,,,0.94
Kepler-200 c,,0.142,10.222157,2014,Primary Transit,Kepler-200,284.40991215,41.237465,,,0.94
Kepler-201 b,,0.219,25.672083,2014,Primary Transit,Kepler-201,293.62603755,41.272827,,1.17,1.23
Kepler-201 c,,0.254,151.884058,2014,Primary Transit,Kepler-201,293.62603755,41.272827,,1.17,1.23
Kepler-202 b,,0.145,4.069427,2014,Primary Transit,Kepler-202,282.97341915,41.322006,,,0.67
Kepler-202 c,,0.165,16.282493,2014,Primary Transit,Kepler-202,282.97341915,41.322006,,,0.67
Kepler-203 b,,0.229,3.162697,2014,Primary Transit,Kepler-203,297.0899658,41.388039,,0.98,1.11
Kepler-203 c,,0.22,5.370647,2014,Primary Transit,Kepler-203,297.0899658,41.388039,,0.98,1.11
Kepler-203 d,,0.128,11.32972,2014,Primary Transit,Kepler-203,297.0899658,41.388039,,0.98,1.11
Kepler-204 b,,0.226,14.400974,2014,Primary Transit,Kepler-204,285.34719855,41.761925,,0.96,1.24
Kepler-204 c,,0.16,25.660593,2014,Primary Transit,Kepler-204,285.34719855,41.761925,,0.96,1.24
Kepler-205 b,,0.135,2.75564,2014,Primary Transit,Kepler-205,285.2871093,41.861172,,,0.55
Kepler-205 c,,0.146,20.306546,2014,Primary Transit,Kepler-205,285.2871093,41.861172,,,0.55
Kepler-206 b,,0.107,7.781987,2014,Primary Transit,Kepler-206,291.634674,41.833866,,0.94,1.19
Kepler-206 c,,0.158,13.137471,2014,Primary Transit,Kepler-206,291.634674,41.833866,,0.94,1.19
Kepler-206 d,,0.106,23.44281,2014,Primary Transit,Kepler-206,291.634674,41.833866,,0.94,1.19
Kepler-207 b,,0.14,1.611865,2014,Primary Transit,Kepler-207,290.0305176,42.16605,,,1.59
Kepler-207 c,,0.134,3.071571,2014,Primary Transit,Kepler-207,290.0305176,42.16605,,,1.59
Kepler-207 d,,0.295,5.868075,2014,Primary Transit,Kepler-207,290.0305176,42.16605,,,1.59
Kepler-208 b,,0.145,4.22864,2014,Primary Transit,Kepler-208,293.89019775,42.528008,,1.03,1.31
Kepler-208 c,,0.124,7.466623,2014,Primary Transit,Kepler-208,293.89019775,42.528008,,1.03,1.31
Kepler-208 d,,0.107,11.131786,2014,Primary Transit,Kepler-208,293.89019775,42.528008,,1.03,1.31
Kepler-208 e,,0.132,16.259458,2014,Primary Transit,Kepler-208,293.89019775,42.528008,,1.03,1.31
Kepler-209 b,,0.202,16.087845,2014,Primary Transit,Kepler-209,291.1695252,42.640812,,,0.94
Kepler-209 c,,0.277,41.749882,2014,Primary Transit,Kepler-209,291.1695252,42.640812,,,0.94
Kepler-21 b,0.016,0.1462,2.78578,2011,Primary Transit,Kepler-21,287.3625,38.7138889,108.0,1.34,1.86
Kepler-210 b,,0.3419,2.4532,2014,Primary Transit,Kepler-210,292.504166667,43.08305557,,0.63,0.69
Kepler-210 c,,0.436,7.9725,2014,Primary Transit,Kepler-210,292.504166667,43.08305557,,0.63,0.69
Kepler-211 b,,0.112,4.138575,2014,Primary Transit,Kepler-211,285.43914795,43.168484,,0.97,0.82
Kepler-211 c,,0.115,6.04045,2014,Primary Transit,Kepler-211,285.43914795,43.168484,,0.97,0.82
Kepler-212 b,,0.097,16.257582,2014,Primary Transit,Kepler-212,287.62081905,43.141678,,1.16,1.46
Kepler-212 c,,0.244,31.805174,2014,Primary Transit,Kepler-212,287.62081905,43.141678,,1.16,1.46
Kepler-213 b,,0.145,2.46236,2014,Primary Transit,Kepler-213,290.8241883,44.647186,,0.94,1.2
Kepler-213 c,,0.209,4.822962,2014,Primary Transit,Kepler-213,290.8241883,44.647186,,0.94,1.2
Kepler-214 b,,0.233,15.660544,2014,Primary Transit,Kepler-214,284.7548523,44.956032,,,1.35
Kepler-214 c,,0.19,28.7798,2014,Primary Transit,Kepler-214,284.7548523,44.956032,,,1.35
Kepler-215 b,,0.145,9.360672,2014,Primary Transit,Kepler-215,294.9735108,45.213688,,0.77,1.03
Kepler-215 c,,0.158,14.667108,2014,Primary Transit,Kepler-215,294.9735108,45.213688,,0.77,1.03
Kepler-215 d,,0.213,30.864423,2014,Primary Transit,Kepler-215,294.9735108,45.213688,,0.77,1.03
Kepler-215 e,,0.156,68.16101,2014,Primary Transit,Kepler-215,294.9735108,45.213688,,0.77,1.03
Kepler-216 b,,0.21,7.693641,2014,Primary Transit,Kepler-216,293.7280578,46.129154,,,1.26
Kepler-216 c,,0.271,17.406669,2014,Primary Transit,Kepler-216,293.7280578,46.129154,,,1.26
Kepler-217 b,,0.199,5.374943,2014,Primary Transit,Kepler-217,293.0377503,46.277508,,,1.8
Kepler-217 c,,0.165,8.586004,2014,Primary Transit,Kepler-217,293.0377503,46.277508,,,1.8
Kepler-217 d,,0.118,3.88689525,2016,Primary Transit,Kepler-217,293.0377503,46.277508,,,1.8
Kepler-218 b,,0.132,3.619337,2014,Primary Transit,Kepler-218,295.4128113,46.266472,,,1.06
Kepler-218 c,,0.28,44.699576,2014,Primary Transit,Kepler-218,295.4128113,46.266472,,,1.06
Kepler-218 d,,0.237,124.5244647,2016,Primary Transit,Kepler-218,295.4128113,46.266472,,,1.06
Kepler-219 b,,0.263,4.585512,2014,Primary Transit,Kepler-219,288.7389831,46.762558,,,1.49
Kepler-219 c,,0.319,22.714613,2014,Primary Transit,Kepler-219,288.7389831,46.762558,,,1.49
Kepler-219 d,,0.251,47.903645,2014,Primary Transit,Kepler-219,288.7389831,46.762558,,,1.49
Kepler-22 b,0.11,0.21,289.8623,2011,Primary Transit,Kepler-22,289.2166667,47.8844444,190.0,0.97,0.979
Kepler-220 b,,0.072,4.159807,2014,Primary Transit,Kepler-220,291.50622555,46.895779,,,0.67
Kepler-220 c,,0.14,9.034199,2014,Primary Transit,Kepler-220,291.50622555,46.895779,,,0.67
Kepler-220 d,,0.087,28.122397,2014,Primary Transit,Kepler-220,291.50622555,46.895779,,,0.67
Kepler-220 e,,0.119,45.902733,2014,Primary Transit,Kepler-220,291.50622555,46.895779,,,0.67
Kepler-221 b,,0.153,2.795906,2014,Primary Transit,Kepler-221,296.6547546,46.83527,,0.72,0.82
Kepler-221 c,,0.261,5.690586,2014,Primary Transit,Kepler-221,296.6547546,46.83527,,0.72,0.82
Kepler-221 d,,0.244,10.04156,2014,Primary Transit,Kepler-221,296.6547546,46.83527,,0.72,0.82
Kepler-221 e,,0.235,18.369917,2014,Primary Transit,Kepler-221,296.6547546,46.83527,,0.72,0.82
Kepler-222 b,,0.282,3.936981,2014,Primary Transit,Kepler-222,287.90609745,46.937767,,,0.87
Kepler-222 c,,0.414,10.08881,2014,Primary Transit,Kepler-222,287.90609745,46.937767,,,0.87
Kepler-222 d,,0.329,28.081912,2014,Primary Transit,Kepler-222,287.90609745,46.937767,,,0.87
Kepler-223 b,,0.151,7.384108,2014,Primary Transit,Kepler-223,298.31835945,47.279495,,,1.02
Kepler-223 c,,0.178,9.848183,2014,Primary Transit,Kepler-223,298.31835945,47.279495,,,1.02
Kepler-223 d,,0.266,14.788759,2014,Primary Transit,Kepler-223,298.31835945,47.279495,,,1.02
Kepler-223 e,,0.214,19.721734,2014,Primary Transit,Kepler-223,298.31835945,47.279495,,,1.02
Kepler-224 b,,0.124,3.132924,2014,Primary Transit,Kepler-224,290.93429565,47.357601,,0.74,0.68
Kepler-224 c,,0.278,5.925003,2014,Primary Transit,Kepler-224,290.93429565,47.357601,,0.74,0.68
Kepler-224 d,,0.205,11.349393,2014,Primary Transit,Kepler-224,290.93429565,47.357601,,0.74,0.68
Kepler-224 e,,0.176,18.643577,2014,Primary Transit,Kepler-224,290.93429565,47.357601,,0.74,0.68
Kepler-225 b,,0.107,6.738975,2014,Primary Transit,Kepler-225,292.1939697,47.457096,,,0.48
Kepler-225 c,,0.164,18.794234,2014,Primary Transit,Kepler-225,292.1939697,47.457096,,,0.48
Kepler-226 b,,0.138,3.940997,2014,Primary Transit,Kepler-226,292.3761291,47.880989,,0.86,0.8
Kepler-226 c,,0.203,5.349555,2014,Primary Transit,Kepler-226,292.3761291,47.880989,,0.86,0.8
Kepler-226 d,,0.109,8.109044,2014,Primary Transit,Kepler-226,292.3761291,47.880989,,0.86,0.8
Kepler-227 b,,0.277,9.488015,2014,Primary Transit,Kepler-227,291.93423465,48.141651,,,1.09
Kepler-227 c,,0.271,54.418694,2014,Primary Transit,Kepler-227,291.93423465,48.141651,,,1.09
Kepler-228 b,,0.136,2.566546,2014,Primary Transit,Kepler-228,296.28613275,48.224667,,,1.01
Kepler-228 c,,0.241,4.134444,2014,Primary Transit,Kepler-228,296.28613275,48.224667,,,1.01
Kepler-228 d,,0.36,11.094286,2014,Primary Transit,Kepler-228,296.28613275,48.224667,,,1.01
Kepler-229 b,,0.196,6.252972,2014,Primary Transit,Kepler-229,286.99948125,48.375797,,,0.73
Kepler-229 c,,0.439,16.068638,2014,Primary Transit,Kepler-229,286.99948125,48.375797,,,0.73
Kepler-229 d,,0.343,41.194912,2014,Primary Transit,Kepler-229,286.99948125,48.375797,,,0.73
Kepler-23 b,0.0478,0.1511,7.106995,2012,Primary Transit,Kepler-23,294.2166667,49.4791667,,1.11,1.52
Kepler-23 c,0.189,0.278,10.742434,2012,Primary Transit,Kepler-23,294.2166667,49.4791667,,1.11,1.52
Kepler-23 d,0.055,0.1994,15.27429,2014,Primary Transit,Kepler-23,294.2166667,49.4791667,,1.11,1.52
Kepler-230 b,,0.38,32.625555,2014,Primary Transit,Kepler-230,285.71853645,48.505859,,,0.82
Kepler-230 c,,0.182,91.773242,2014,Primary Transit,Kepler-230,285.71853645,48.505859,,,0.82
Kepler-231 b,,0.154,10.065275,2014,Primary Transit,Kepler-231,293.9733582,50.531914,,0.58,0.49
Kepler-231 c,,0.172,19.271566,2014,Primary Transit,Kepler-231,293.9733582,50.531914,,0.58,0.49
Kepler-232 b,,0.275,4.431222,2014,Primary Transit,Kepler-232,295.81616205,51.121742,,,0.97
Kepler-232 c,,0.342,11.379349,2014,Primary Transit,Kepler-232,295.81616205,51.121742,,,0.97
Kepler-233 b,,0.217,8.472382,2014,Primary Transit,Kepler-233,296.3665161,51.319523,,,0.76
Kepler-233 c,,0.242,60.418955,2014,Primary Transit,Kepler-233,296.3665161,51.319523,,,0.76
Kepler-234 b,,0.33,2.711506,2014,Primary Transit,Kepler-234,291.65350335,38.494659,,,1.11
Kepler-234 c,,0.313,7.21205,2014,Primary Transit,Kepler-234,291.65350335,38.494659,,,1.11
Kepler-235 b,,0.199,3.340222,2014,Primary Transit,Kepler-235,286.0791015,39.278313,,0.59,0.55
Kepler-235 c,,0.114,7.824904,2014,Primary Transit,Kepler-235,286.0791015,39.278313,,0.59,0.55
Kepler-235 d,,0.183,20.060548,2014,Primary Transit,Kepler-235,286.0791015,39.278313,,0.59,0.55
Kepler-235 e,,0.198,46.183669,2014,Primary Transit,Kepler-235,286.0791015,39.278313,,0.59,0.55
Kepler-236 b,,0.14,8.295611,2014,Primary Transit,Kepler-236,283.8663636,39.89809,,0.56,0.51
Kepler-236 c,,0.178,23.968127,2014,Primary Transit,Kepler-236,283.8663636,39.89809,,0.56,0.51
Kepler-237 b,,0.126,4.715106,2014,Primary Transit,Kepler-237,283.22137455,40.421833,,0.7,0.72
Kepler-237 c,,0.186,8.103636,2014,Primary Transit,Kepler-237,283.22137455,40.421833,,0.7,0.72
Kepler-238 b,,0.154,2.090876,2014,Primary Transit,Kepler-238,287.8958,40.6378,,1.43,0.9
Kepler-238 c,,0.213,6.155557,2014,Primary Transit,Kepler-238,287.8958,40.6378,,1.43,0.9
Kepler-238 d,,0.274,13.233549,2014,Primary Transit,Kepler-238,287.8958,40.6378,,1.43,0.9
Kepler-238 e,0.626,0.501,23.654,2013,Primary Transit,Kepler-238,287.8958,40.6378,,1.43,0.9
Kepler-238 f,0.056,0.179,50.447,2013,Primary Transit,Kepler-238,287.8958,40.6378,,1.43,0.9
Kepler-239 b,,0.208,11.763051,2014,Primary Transit,Kepler-239,294.2021484,40.663406,,0.74,0.76
Kepler-239 c,,0.224,56.228098,2014,Primary Transit,Kepler-239,294.2021484,40.663406,,0.74,0.76
Kepler-24 b,1.6,0.21,8.1453,2012,Primary Transit,Kepler-24,290.4125,38.3438889,,1.03,1.07
Kepler-24 c,1.6,0.25,12.3335,2012,Primary Transit,Kepler-24,290.4125,38.3438889,,1.03,1.07
Kepler-240 b,,0.122,4.144495,2014,Primary Transit,Kepler-240,291.15878295,40.750263,,,0.74
Kepler-240 c,,0.196,7.953528,2014,Primary Transit,Kepler-240,291.15878295,40.750263,,,0.74
Kepler-241 b,,0.208,12.718092,2014,Primary Transit,Kepler-241,292.9131165,41.060921,,,0.67
Kepler-241 c,,0.229,36.065978,2014,Primary Transit,Kepler-241,292.9131165,41.060921,,,0.67
Kepler-242 b,,0.233,8.20395,2014,Primary Transit,Kepler-242,286.56570435,41.808403,,,0.85
Kepler-242 c,,0.178,14.496481,2014,Primary Transit,Kepler-242,286.56570435,41.808403,,,0.85
Kepler-243 b,,0.219,5.715442,2014,Primary Transit,Kepler-243,285.11047365,42.033958,,0.89,0.84
Kepler-243 c,,0.178,20.026218,2014,Primary Transit,Kepler-243,285.11047365,42.033958,,0.89,0.84
Kepler-244 b,,0.246,4.311792,2014,Primary Transit,Kepler-244,287.2426758,42.301369,,,0.8
Kepler-244 c,,0.183,9.767292,2014,Primary Transit,Kepler-244,287.2426758,42.301369,,,0.8
Kepler-244 d,,0.206,20.050401,2014,Primary Transit,Kepler-244,287.2426758,42.301369,,,0.8
Kepler-245 b,,0.229,7.49019,2014,Primary Transit,Kepler-245,291.63897705,42.436317,,0.8,0.8
Kepler-245 c,,0.194,17.460812,2014,Primary Transit,Kepler-245,291.63897705,42.436317,,0.8,0.8
Kepler-245 d,,0.27,36.277108,2014,Primary Transit,Kepler-245,291.63897705,42.436317,,0.8,0.8
Kepler-245 e,,0.156,3.21982106,2016,Primary Transit,Kepler-245,291.63897705,42.436317,,0.8,0.8
Kepler-246 b,,0.209,4.60182,2014,Primary Transit,Kepler-246,296.48342895,42.663429,,0.86,0.83
Kepler-246 c,,0.134,11.187161,2014,Primary Transit,Kepler-246,296.48342895,42.663429,,0.86,0.83
Kepler-247 b,,0.146,3.33616,2014,Primary Transit,Kepler-247,288.64251705,43.039291,,0.884,0.791
Kepler-247 c,,0.365,9.439452,2014,Primary Transit,Kepler-247,288.64251705,43.039291,,0.884,0.791
Kepler-247 d,,0.352,20.477912,2014,Primary Transit,Kepler-247,288.64251705,43.039291,,0.884,0.791
Kepler-248 b,,0.269,6.308205,2014,Primary Transit,Kepler-248,293.0613708,43.581356,,,0.83
Kepler-248 c,,0.363,16.239494,2014,Primary Transit,Kepler-248,293.0613708,43.581356,,,0.83
Kepler-249 b,,0.097,3.306539,2014,Primary Transit,Kepler-249,296.98507695,43.658524,,,0.48
Kepler-249 c,,0.135,7.113702,2014,Primary Transit,Kepler-249,296.98507695,43.658524,,,0.48
Kepler-249 d,,0.14,15.368459,2014,Primary Transit,Kepler-249,296.98507695,43.658524,,,0.48
Kepler-25 b,0.028,0.2411,6.2385369,2012,Primary Transit,Kepler-25,286.6375,39.4877778,,1.22,1.36
Kepler-25 c,0.045,0.4598,12.7203678,2012,Primary Transit,Kepler-25,286.6375,39.4877778,,1.22,1.36
Kepler-25 d,0.282855614637,,123.0,2014,Radial Velocity,Kepler-25,286.6375,39.4877778,,1.22,1.36
Kepler-250 b,,0.101,4.148141,2014,Primary Transit,Kepler-250,289.5947571,44.141953,,0.8,0.81
Kepler-250 c,,0.203,7.156804,2014,Primary Transit,Kepler-250,289.5947571,44.141953,,0.8,0.81
Kepler-250 d,,0.194,17.648312,2014,Primary Transit,Kepler-250,289.5947571,44.141953,,0.8,0.81
Kepler-251 b,,0.119,4.790936,2014,Primary Transit,Kepler-251,296.5662231,44.105865,,0.91,0.89
Kepler-251 c,,0.247,16.514043,2014,Primary Transit,Kepler-251,296.5662231,44.105865,,0.91,0.89
Kepler-251 d,,0.247,30.133001,2014,Primary Transit,Kepler-251,296.5662231,44.105865,,0.91,0.89
Kepler-251 e,,0.247,99.640161,2014,Primary Transit,Kepler-251,296.5662231,44.105865,,0.91,0.89
Kepler-252 b,,0.11,6.668391,2014,Primary Transit,Kepler-252,295.57934565,44.545963,,0.52,0.55
Kepler-252 c,,0.192,10.848463,2014,Primary Transit,Kepler-252,295.57934565,44.545963,,0.52,0.55
Kepler-253 b,,0.145,3.783986,2014,Primary Transit,Kepler-253,291.84198,44.858089,,,0.79
Kepler-253 c,,0.236,10.281951,2014,Primary Transit,Kepler-253,291.84198,44.858089,,,0.79
Kepler-253 d,,0.283,18.119869,2014,Primary Transit,Kepler-253,291.84198,44.858089,,,0.79
Kepler-254 b,,0.345,5.826662,2014,Primary Transit,Kepler-254,288.1647033,45.816505,,,0.91
Kepler-254 c,,0.192,12.412183,2014,Primary Transit,Kepler-254,288.1647033,45.816505,,,0.91
Kepler-254 d,,0.223,18.746477,2014,Primary Transit,Kepler-254,288.1647033,45.816505,,,0.91
Kepler-255 b,,0.138,5.714606,2014,Primary Transit,Kepler-255,296.06423955,45.976841,,0.97,0.93
Kepler-255 c,,0.267,9.946047,2014,Primary Transit,Kepler-255,296.06423955,45.976841,,0.97,0.93
Kepler-255 d,,0.118,1.04562266,2016,Primary Transit,Kepler-255,296.06423955,45.976841,,0.97,0.93
Kepler-256 b,,0.142,1.620493,2014,Primary Transit,Kepler-256,292.5804444,46.097389,,1.02,1.3
Kepler-256 c,,0.192,3.38802,2014,Primary Transit,Kepler-256,292.5804444,46.097389,,1.02,1.3
Kepler-256 d,,0.221,5.839172,2014,Primary Transit,Kepler-256,292.5804444,46.097389,,1.02,1.3
Kepler-256 e,,0.21,10.681572,2014,Primary Transit,Kepler-256,292.5804444,46.097389,,1.02,1.3
Kepler-257 b,,0.233,2.382667,2014,Primary Transit,Kepler-257,297.31597905,46.02327,,,1.04
Kepler-257 c,,0.483,6.581484,2014,Primary Transit,Kepler-257,297.31597905,46.02327,,,1.04
Kepler-257 d,,0.442,24.664551,2014,Primary Transit,Kepler-257,297.31597905,46.02327,,,1.04
Kepler-258 b,,0.362,13.19722,2014,Primary Transit,Kepler-258,294.06848145,46.57933,,0.8,0.92
Kepler-258 c,,0.322,33.653079,2014,Primary Transit,Kepler-258,294.06848145,46.57933,,0.8,0.92
Kepler-259 b,,0.25,8.115317,2014,Primary Transit,Kepler-259,288.211914,46.615005,,,0.9
Kepler-259 c,,0.241,36.924931,2014,Primary Transit,Kepler-259,288.211914,46.615005,,,0.9
Kepler-26 b,0.00875,0.248,12.2829,2012,Primary Transit,Kepler-26,284.9416667,46.5666667,,0.65,0.59
Kepler-26 c,0.01949,0.243,17.2513,2012,Primary Transit,Kepler-26,284.9416667,46.5666667,,0.65,0.59
Kepler-26 e,,0.215,46.827915,2014,Primary Transit,Kepler-26,284.9416667,46.5666667,,0.65,0.59
Kepler-260 b,,0.179,8.187399,2014,Primary Transit,Kepler-260,291.9259644,38.014122,,0.88,0.86
Kepler-260 c,,0.155,76.050178,2014,Primary Transit,Kepler-260,291.9259644,38.014122,,0.88,0.86
Kepler-261 b,,0.194,10.381227,2014,Primary Transit,Kepler-261,291.3647766,37.609184,,0.87,0.79
Kepler-261 c,,0.178,24.570858,2014,Primary Transit,Kepler-261,291.3647766,37.609184,,0.87,0.79
Kepler-262 b,,0.121,13.060855,2014,Primary Transit,Kepler-262,290.72866815,37.252651,,,0.88
Kepler-262 c,,0.146,21.853722,2014,Primary Transit,Kepler-262,290.72866815,37.252651,,,0.88
Kepler-263 b,,0.238,16.568087,2014,Primary Transit,Kepler-263,292.46975715,37.567795,,,0.79
Kepler-263 c,,0.22,47.332773,2014,Primary Transit,Kepler-263,292.46975715,37.567795,,,0.79
Kepler-264 b,,0.297,40.806231,2014,Primary Transit,Kepler-264,292.04461665,37.376247,,1.32,1.55
Kepler-264 c,,0.252,140.101261,2014,Primary Transit,Kepler-264,292.04461665,37.376247,,1.32,1.55
Kepler-265 b,,0.166,6.846262,2014,Primary Transit,Kepler-265,290.5104675,41.24482,,1.03,1.1
Kepler-265 c,,0.235,17.028937,2014,Primary Transit,Kepler-265,290.5104675,41.24482,,1.03,1.1
Kepler-265 d,,0.222,43.130617,2014,Primary Transit,Kepler-265,290.5104675,41.24482,,1.03,1.1
Kepler-265 e,,0.231,67.831024,2014,Primary Transit,Kepler-265,290.5104675,41.24482,,1.03,1.1
Kepler-266 b,,0.221,6.61833,2014,Primary Transit,Kepler-266,294.48437505,44.166916,,0.99,1.03
Kepler-266 c,,0.347,107.723601,2014,Primary Transit,Kepler-266,294.48437505,44.166916,,0.99,1.03
Kepler-267 b,,0.177,3.353728,2014,Primary Transit,Kepler-267,299.8303833,47.157459,,0.56,0.56
Kepler-267 c,,0.19,6.87745,2014,Primary Transit,Kepler-267,299.8303833,47.157459,,0.56,0.56
Kepler-267 d,,0.203,28.464515,2014,Primary Transit,Kepler-267,299.8303833,47.157459,,0.56,0.56
Kepler-268 b,,0.227,25.934138,2014,Primary Transit,Kepler-268,291.9761658,38.055077,,,1.27
Kepler-268 c,,0.302,83.446393,2014,Primary Transit,Kepler-268,291.9761658,38.055077,,,1.27
Kepler-269 b,,0.22,5.326718,2014,Primary Transit,Kepler-269,290.21517945,41.775967,,0.98,0.96
Kepler-269 c,,0.151,8.127899,2014,Primary Transit,Kepler-269,290.21517945,41.775967,,0.98,0.96
Kepler-27 b,9.11,0.36,15.3348,2012,Primary Transit,Kepler-27,292.2375,41.0858333,,0.65,0.59
Kepler-27 c,13.8,0.44,31.3309,2012,Primary Transit,Kepler-27,292.2375,41.0858333,,0.65,0.59
