1090
Yegoryevsk 8	Krasnoarmeysk 31 Roslavl 23 Abakan 154 Plast 184 Nolinsk 28 Novosil 168 Zeya 134 MariinskyPosad 54 
MalayaVishera 10	Chulym 50 Novoalexandrovsk 160 Novosil 190 Sosnogorsk 107 Urus-Martan 181 StaryOskol 16 Artyomovsk 198 Kommunar 13 Kalach 100 Udachny 126 
Pustoshka 12	Tolyatti 111 Plavsk 30 Vologda 118 Volosovo 145 Budyonnovsk 14 Teberda 81 Irbit 52 Polevskoy 61 Ust-Kut 38 Vsevolozhsk 49 Neryungri 64 Kostroma 111 
Kinel 6	Kasli 163 Astrakhan 99 Rzhev 136 Uglich 39 Koryazhma 142 Shakhty 13 
Ishimbay 6	Lomonosov 139 Artyom 156 Danilov 32 Lyskovo 137 Dzerzhinsky 67 Kurganinsk 67 
Artyomovsk 8	Baksan 132 Dorogobuzh 184 Kopeysk 193 KrasnoyeSelo 157 Rudnya 82 MalayaVishera 198 Gusev 193 Asino 125 
Volokolamsk 3	StarayaRussa 97 Sibay 63 Shakhty 156 
Kozmodemyansk 12	NovayaLyalya 50 Uglich 176 Vologda 115 Likhoslavl 181 Belovo 82 Zheleznodorozhny 174 Marks 101 Abaza 169 Shumikha 182 Dmitrovsk 188 Gorodovikovsk 99 Orekhovo-Zuyevo 197 
Barysh 8	VerkhnyayaSalda 200 Zainsk 168 Salsk 69 Yanaul 64 Mozhga 175 Maykop 45 Volgodonsk 150 Biysk 170 
Kargopol 9	Ladushkin 85 Irbit 157 Cherkessk 44 Krasnokamensk 196 Poronaysk 160 Yartsevo 131 Kovrov 60 Pytalovo 30 Dzerzhinsky 164 
Kstovo 8	Kommunar 137 Nevel 47 Aniva 194 VerkhnyUfaley 63 Sukhinichi 48 Abaza 149 Mamadysh 123 Nikolskoye 41 
Novocheboksarsk 7	Saransk 165 Mikhaylovsk 68 Volzhsk 186 Kashin 97 Galich 115 Buynaksk 137 Seversk 54 
Novoshakhtinsk 7	Pravdinsk 119 Sergach 11 Ob 141 Nikolayevsk-on-Amur 175 Vikhorevka 58 Rudnya 199 Verkhneuralsk 124 
Petrozavodsk 9	Kozlovka 95 Baymak 166 Krasnozavodsk 36 Kachkanar 150 Kachkanar 165 Volgograd 194 StarayaKupavna 44 Kem 30 Tula 46 
Salekhard 11	Novosil 53 Likhoslavl 31 Smolensk 160 Oktyabrsk 78 Petushki 189 Sebezh 29 Zavodoukovsk 75 Segezha 41 Abaza 135 Donetsk 45 Konstantinovsk 65 
Vidnoye 10	Tuymazy 177 Balashikha 107 Tarko-Sale 30 Makaryev 143 Tsivilsk 193 Pikalyovo 136 Khimki 184 Suzdal 137 Novoaltaysk 83 Pudozh 175 
Taldom 4	Gorokhovets 196 Zelenogradsk 30 Kirovsk 103 Kirsanov 139 
NizhnyayaSalda 13	Berdsk 56 Nolinsk 150 Zaraysk 19 Temryuk 141 NaberezhnyeChelny 88 Kamensk-Shakhtinsky 121 Sorochinsk 104 Murom 80 Lakinsk 49 Kuznetsk 121 Petropavlovsk-Kamchatsky 42 Baykalsk 123 Shlisselburg 69 
Ust-Labinsk 13	Glazov 30 Komsomolsk 85 Alatyr 62 Lipki 102 Sayansk 42 Biryuch 40 Argun 12 Slantsy 21 Susuman 128 Slobodskoy 59 Volzhsk 114 Mednogorsk 123 Moscow 40 
Sukhinichi 15	GoryachyKlyuch 82 Myski 160 Magas 75 Mtsensk 113 Navoloki 126 VerkhnyTagil 146 Soltsy 135 Kstovo 48 Syktyvkar 77 Aramil 197 Plavsk 103 Cheremkhovo 30 Pugachyov 196 Olonets 67 Gremyachinsk 183 
Segezha 8	Ivangorod 139 Krasavino 25 Degtyarsk 161 Komsomolsk-on-Amur 39 Salekhard 41 Melenki 49 Sharya 61 Navashino 134 
Kem 10	Novodvinsk 182 Iskitim 167 Yurga 189 Petrozavodsk 30 Labinsk 141 Mytishchi 37 Shikhany 107 Alexeyevka 63 Nikolayevsk 40 Plavsk 199 
Morshansk 9	Gorodishche 59 Kola 25 Primorsk 129 Baksan 59 Berezovsky 76 Skovorodino 34 Pyt-Yakh 200 Leninogorsk 42 Katav-Ivanovsk 42 
Ostrogozhsk 10	Bor 67 Dorogobuzh 147 Borzya 94 Malmyzh 169 Minyar 173 Pravdinsk 149 Pugachyov 177 Nevelsk 188 MineralnyeVody 74 Labytnangi 138 
Uvarovo 7	Krasnoturyinsk 144 Nesterov 141 Dubovka 36 Nizhnekamsk 157 Kamyshin 15 Reutov 27 Alatyr 88 
Makhachkala 8	Slantsy 121 Sharypovo 44 Kaluga 42 Novomichurinsk 14 Ramenskoye 95 Shagonar 133 Zvenigorod 175 Pokrov 134 
Kameshkovo 8	Odintsovo 113 Rezh 130 Belebey 115 Zhirnovsk 124 Novouralsk 189 Ardatov 123 Gremyachinsk 45 Engels 122 
Neftekumsk 6	Dzerzhinsky 26 Velsk 14 Ozyory 189 Krasnovishersk 18 Pokhvistnevo 160 Dubovka 30 
Karabanovo 6	Kursk 69 Chaplygin 191 Stavropol 88 Chulym 177 Bogorodsk 109 Georgiyevsk 17 
Elektrogorsk 8	Beloretsk 95 Beloyarsky 73 Nyagan 95 Nazarovo 187 SovetskayaGavan 122 Berezniki 146 Zavodoukovsk 13 Cheremkhovo 180 
Novokuybyshevsk 7	Mozhaysk 19 Nevyansk 122 Usinsk 160 Biryusinsk 110 Kurchatov 60 Tryokhgorny 145 Kogalym 41 
Alzamay 12	Kusa 56 Nerchinsk 146 Kedrovy 131 Severouralsk 126 Kurilsk 62 Gatchina 178 Kola 73 Urzhum 72 Noyabrsk 96 Vsevolozhsk 146 Vyborg 182 Chernyakhovsk 14 
Khabarovsk 9	Degtyarsk 125 Zhirnovsk 85 Nikolayevsk 134 Zima 153 Troitsk 100 Babayevo 130 Komsomolsk 99 Pevek 92 Mikhaylovsk 54 
ZapadnayaDvina 8	Soligalich 147 Beloretsk 22 Kirs 115 Tara 159 Kiselyovsk 67 Dyatkovo 158 Katav-Ivanovsk 163 Bodaybo 129 
Aksay 11	Kushva 198 Svobodny 56 Yadrin 30 Kotelnich 107 Pudozh 147 Dmitrov 162 Bolokhovo 193 Starodub 140 Slobodskoy 143 Bilibino 22 Minusinsk 23 
Susuman 11	Ust-Labinsk 128 Temnikov 200 Lyudinovo 198 Snezhinsk 42 Tarusa 141 Belyov 130 Ryazan 39 Kotlas 103 Syasstroy 102 Dno 148 Noginsk 132 
Arsenyev 3	Berdsk 101 Kotovo 96 Shakhtyorsk 180 
Noginsk 10	Unecha 89 Povorino 112 Susuman 132 Domodedovo 20 Safonovo 185 Yubileyny 72 Korablino 116 Yelnya 167 PetrovVal 163 Mytishchi 191 
Navoloki 8	Zarinsk 136 Svobodny 28 Chadan 54 Muravlenko 94 KrasnySulin 14 Sukhinichi 126 Unecha 189 Buy 51 
Sertolovo 7	Ulyanovsk 95 Sokolniki 83 KrasnyKut 42 Chernyakhovsk 177 Georgiyevsk 97 Zelenogorsk 122 Leninsk-Kuznetsky 156 
Andreapol 10	Gornyak 200 Syasstroy 179 Udomlya 77 Buinsk 193 Seversk 95 Kuybyshev 153 Makushino 76 Kamyshin 193 Mosalsk 163 Kushva 190 
Teykovo 10	Sasovo 64 Gus-Khrustalny 51 Krasavino 133 Yoshkar-Ola 90 Belyov 196 Yuzha 194 Polessk 198 PetrovVal 65 Grayvoron 119 Semiluki 193 
Solnechnogorsk 9	Insar 136 Volosovo 112 Shumerlya 32 Pugachyov 76 Manturovo 177 Pskov 178 Nazarovo 45 Kamensk-Uralsky 171 Gay 114 
Nevinnomyssk 6	Stavropol 65 Tyumen 110 Mendeleyevsk 19 Makushino 161 Belovo 80 Gay 13 
Kamensk-Uralsky 6	Biysk 14 Mglin 130 Solnechnogorsk 171 Volodarsk 115 Severo-Kurilsk 58 Sim 174 
Angarsk 7	Glazov 66 Kola 161 Knyaginino 168 Boksitogorsk 133 Arzamas 131 Petrovsk-Zabaykalsky 41 Medyn 34 
Babayevo 1	Khabarovsk 130 
Orenburg 5	Volosovo 151 Pevek 52 Velizh 60 Lakinsk 84 Kuvandyk 179 
Tayga 8	Svobodny 174 Zlynka 110 Orekhovo-Zuyevo 83 Serov 172 Bratsk 58 Mikun 135 Slavgorod 68 Krasnouralsk 135 
Lakhdenpokhya 8	Okha 15 Kamyzyak 94 Tayshet 73 Talitsa 151 Bikin 18 Zavitinsk 16 Kizilyurt 165 Almetyevsk 86 
Ozyory 2	Neftekumsk 189 Tara 109 
Likhoslavl 6	Nerekhta 179 Orekhovo-Zuyevo 59 Neman 183 Gelendzhik 176 Kozmodemyansk 181 Salekhard 31 
Izobilny 10	Severomorsk 95 Kaltan 58 Krasnoufimsk 90 Mendeleyevsk 85 Kalachinsk 11 Zheleznovodsk 184 VerkhnyTagil 26 Pushkin 16 Surovikino 51 Shchuchye 193 
Biryusinsk 5	Bagrationovsk 75 Menzelinsk 81 Slavsk 137 Novokuybyshevsk 110 NovyOskol 193 
Nikolayevsk-on-Amur 8	Yuryevets 109 VelikyUstyug 112 Volzhsk 111 Novoshakhtinsk 175 Rybnoye 42 Zima 11 Polysayevo 66 Drezna 166 
Starodub 6	Aksay 140 Apsheronsk 151 Rybinsk 77 Kirsanov 154 Gorodishche 46 Bezhetsk 134 
Berezovsky 8	Ruzayevka 26 Chapayevsk 151 Shenkursk 138 Pushchino 10 Neya 24 Morshansk 76 Rybnoye 16 Davlekanovo 128 
Velizh 14	Proletarsk 166 Pitkyaranta 167 Naryan-Mar 187 Lyantor 37 Yurga 133 Yelets 123 Sebezh 183 Kuznetsk 90 Orenburg 60 Kubinka 55 Ustyuzhna 38 StarayaRussa 187 Liski 102 Krasnoslobodsk 154 
Yeniseysk 9	Gorodets 130 Gatchina 138 Kandalaksha 194 Olenegorsk 39 Syzran 194 Povorino 133 Petropavlovsk-Kamchatsky 73 Shuya 19 Okulovka 132 
Yelets 6	Otradnoye 43 Arsk 126 Kyshtym 24 Tolyatti 16 Grayvoron 141 Velizh 123 
Zavitinsk 8	Nikolayevsk 179 Lakhdenpokhya 16 Kirovgrad 17 Kholm 44 Mglin 135 Tayshet 192 SukhoyLog 106 NovayaLadoga 12 
Partizansk 9	Zmeinogorsk 199 Primorsko-Akhtarsk 150 Kurtamysh 151 Buguruslan 101 Pestovo 187 Semyonov 35 Gubakha 139 Dmitrov 86 Ryazhsk 198 
Melenki 9	VelikyUstyug 84 Osinniki 166 Segezha 49 Igarka 96 Krasnogorsk 159 Kaspiysk 102 Millerovo 31 Belorechensk 197 Yekaterinburg 73 
Chaykovsky 8	Nolinsk 47 Ryazhsk 51 Shelekhov 170 Urus-Martan 69 Karabulak 22 Apatity 122 Gelendzhik 72 Pokrov 87 
Petrovsk 4	Ertil 179 Serafimovich 129 Dno 96 Samara 179 
Pallasovka 3	Severo-Kurilsk 92 Adygeysk 167 Novoanninsky 159 
Novorzhev 7	Lyudinovo 11 Oryol 175 Rudnya 69 Bobrov 126 Zhukov 104 Udomlya 175 Zernograd 108 
Plast 8	Korablino 141 Yegoryevsk 184 Sortavala 62 Spassk-Dalny 96 Nizhnevartovsk 151 Arsk 56 Alexandrov 145 Shakhty 36 
Sharya 5	Segezha 61 Opochka 146 Nakhodka 155 Yuryuzan 85 Kosteryovo 20 
Kamyzyak 7	Sursk 62 Vichuga 187 Grozny 65 Uren 18 Lakhdenpokhya 94 Sengiley 148 Volzhsk 166 
Sokol 10	Nerchinsk 100 Kuybyshev 156 Yemanzhelinsk 168 Dno 123 Kasimov 79 Kholmsk 11 Sosensky 111 Uyar 24 Novocherkassk 54 Morozovsk 117 
Spassk-Dalny 11	Elektrostal 45 Sasovo 29 Lyskovo 109 Inza 153 Plast 96 VerkhnyayaPyshma 85 Labinsk 93 Magnitogorsk 75 Minusinsk 26 Belomorsk 12 Ukhta 132 
BolshoyKamen 6	Slavgorod 88 Chernogorsk 141 Kemerovo 17 Leninsk-Kuznetsky 22 Berdsk 18 Saransk 112 
Bratsk 12	Polevskoy 192 Tayga 58 Totma 25 Smolensk 79 Yasny 35 Belousovo 191 Mytishchi 97 Artyomovsky 25 Mamadysh 98 Pechory 170 Shebekino 92 Kineshma 168 
Petergof 8	Lysva 189 Gusinoozyorsk 63 Fatezh 182 Alagir 200 Nazran 40 Surovikino 46 Primorsk 60 Gubakha 73 
Rostov 4	Vichuga 45 Dalnegorsk 12 Shadrinsk 144 Leninsk 195 
Ozherelye 8	Shatsk 56 Topki 109 Kirov 119 Nakhodka 38 Voronezh 173 Derbent 134 Gay 97 Chernogorsk 92 
Novoulyanovsk 11	Birsk 173 Verkhoturye 78 Novomoskovsk 105 Bilibino 14 Khimki 64 Fokino 179 Yuzhnouralsk 118 Poshekhonye 116 Kokhma 20 Yugorsk 132 Kurovskoye 187 
Budyonnovsk 11	Uryupinsk 114 Stroitel 53 Tashtagol 144 Belousovo 140 Borodino 37 Timashyovsk 185 Leninsk-Kuznetsky 149 Syzran 115 Pustoshka 14 Pereslavl-Zalessky 187 Zelenogorsk 93 
Aleksin 3	Barabinsk 57 Kanash 188 Alexandrov 18 
Sochi 7	Zheleznodorozhny 169 VelikyUstyug 153 Nizhneudinsk 74 Tuapse 128 Tula 188 Mirny 169 Vichuga 34 
Kurchatov 10	Mirny 41 Myski 94 Tommot 179 Novokuybyshevsk 60 Dzerzhinsk 27 Puchezh 150 Belgorod 116 Kalininsk 104 Kedrovy 157 Kansk 127 
Taganrog 3	Irkutsk 160 GavrilovPosad 71 Zvenigovo 81 
Abaza 11	Aznakayevo 128 Krasnogorsk 150 Yasny 178 Kstovo 149 Kozmodemyansk 169 Salekhard 135 Belousovo 129 Omutninsk 53 Belinsky 85 Lesosibirsk 14 Dobryanka 14 
Kirovsk 11	SosnovyBor 181 Morozovsk 10 Taldom 103 Bronnitsy 102 Usinsk 195 Peresvet 30 Okha 190 Innopolis 101 Venyov 158 Neftekamsk 117 Kuvshinovo 25 
Kozlovka 7	Asino 151 Kursk 198 Petrozavodsk 95 Zelenokumsk 84 Dmitriyev 154 Belovo 35 Spassk 180 
Nizhnevartovsk 6	Plast 151 Kalininsk 194 Belousovo 190 Dalnerechensk 15 Makarov 26 Dzerzhinsky 161 
Zavolzhsk 11	Borovichi 194 Achinsk 64 Amursk 200 Dubovka 30 Svetlograd 181 Udomlya 184 Maloyaroslavets 130 Verkhoyansk 199 Spas-Klepiki 179 Kotelniki 25 Kusa 94 
Novoanninsky 3	Pavlovo 77 Pallasovka 159 Shebekino 25 
SovetskayaGavan 10	Kireyevsk 163 VelikyNovgorod 30 Slobodskoy 162 VelikyUstyug 140 Kotelnikovo 191 Elektrogorsk 122 Belinsky 132 Shenkursk 193 Bolotnoye 18 Kosteryovo 34 
Poshekhonye 10	Novoulyanovsk 116 Krymsk 160 Polysayevo 151 Perm 187 Vereya 174 Neryungri 135 VerkhnyayaSalda 154 Kalachinsk 58 Nikolayevsk 12 Pugachyov 187 
GavrilovPosad 11	Polessk 32 Urus-Martan 101 Taganrog 71 Usolye 182 Yadrin 119 Monchegorsk 161 Alexandrovsk-Sakhalinsky 16 Korocha 61 Yartsevo 159 Lukoyanov 42 Ust-Ilimsk 156 
Peresvet 10	Volzhsky 116 Surovikino 151 Vsevolozhsk 190 Kirovsk 30 Kremyonki 10 Arkadak 141 Novomoskovsk 198 Gatchina 98 Pokhvistnevo 86 Belokurikha 190 
Degtyarsk 10	Zelenogradsk 196 Mozhga 166 Segezha 161 Khabarovsk 125 Lyubertsy 89 Ulyanovsk 61 Sursk 116 Neryungri 136 Kurganinsk 33 Cherepanovo 178 
KrasnyKholm 6	Novocherkassk 139 Anzhero-Sudzhensk 159 Uray 169 Bolokhovo 35 Kamyshlov 171 Gukovo 36 
Arzamas 10	Udachny 118 Katav-Ivanovsk 115 Tarko-Sale 64 Angarsk 131 Bronnitsy 84 Vilyuchinsk 146 Cherdyn 112 Balashikha 94 Kozelsk 199 Lebedyan 159 
Akhtubinsk 8	Kirensk 197 Kovylkino 42 Rezh 112 Satka 45 Yalutorovsk 183 Pestovo 118 Kholm 168 Dedovsk 156 
Snezhinsk 12	Yasnogorsk 162 Sestroretsk 140 Lesosibirsk 51 Makarov 145 Lyantor 102 Roshal 16 Apatity 46 Alagir 123 Susuman 42 Sokolniki 113 Suvorov 171 Okulovka 200 
Novodvinsk 10	Kartaly 135 Dolgoprudny 71 Slavgorod 96 Yemva 134 Tyumen 53 Sarov 26 Serdobsk 198 Kem 182 Velsk 114 Orlov 28 
Kotovsk 14	Reutov 96 Orekhovo-Zuyevo 53 Prokopyevsk 118 Opochka 187 Kirishi 34 Bataysk 11 Vytegra 60 Severouralsk 82 Velsk 137 Krasnodar 78 Bogoroditsk 192 Shatsk 94 Ishim 40 Tyukalinsk 56 
Zarechny 7	Sim 10 Agidel 134 Gdov 90 Tommot 121 Stavropol 159 Golitsyno 166 Shimanovsk 142 
Amursk 10	Saransk 129 Chekhov 31 Leninsk-Kuznetsky 194 Gvardeysk 97 Krasnoarmeysk 165 Zavolzhsk 200 Pechora 68 Baley 39 Nikolsk 165 Kovdor 18 
Kurgan 4	Tula 197 Bugulma 190 Belovo 80 NizhnyNovgorod 167 
Usinsk 9	Svetlograd 177 Pskov 179 Kologriv 11 Nerchinsk 192 Prokhladny 121 Medvezhyegorsk 188 Gornozavodsk 168 Novokuybyshevsk 160 Kirovsk 195 
Sayansk 4	Zuyevka 101 Magadan 92 Ust-Labinsk 42 Pochep 171 
NizhnyNovgorod 8	Kurgan 167 Rtishchevo 159 Belgorod 82 Snezhnogorsk 187 Kandalaksha 61 Obninsk 191 Chukhloma 65 Leninsk-Kuznetsky 87 
Pravdinsk 9	Lysva 93 Lagan 88 Sychyovka 159 Syzran 34 Ertil 186 Novoshakhtinsk 119 Ostrogozhsk 149 Aramil 145 Leninsk 50 
Dudinka 6	Artyomovsky 125 Yakutsk 170 Toropets 48 Srednekolymsk 107 Surovikino 13 Kumertau 153 
Vikhorevka 5	Tikhoretsk 91 Novoshakhtinsk 58 Gudermes 171 Plavsk 189 Zaozyorsk 23 
Nolinsk 5	Bogotol 93 Yegoryevsk 28 NizhnyayaSalda 150 Chaykovsky 47 Rzhev 187 
Cherkessk 11	Neman 188 Belyov 109 Mogocha 15 Volzhsky 116 Ostrov 113 Seversk 118 Strezhevoy 172 Gelendzhik 80 Kargopol 44 Kropotkin 75 Kirillov 57 
Okha 7	Furmanov 145 Penza 190 Langepas 94 Kostomuksha 40 Kirovsk 190 Soltsy 107 Lakhdenpokhya 15 
Asbest 11	Uchaly 71 Ostashkov 29 Rossosh 109 Suvorov 103 Kondopoga 179 Kemerovo 133 Ob 171 Aznakayevo 32 Semyonov 127 Zapolyarny 31 Tver 140 
Arsk 14	Bilibino 134 Agryz 132 Plast 56 Uray 66 Gusinoozyorsk 168 Novoalexandrovsk 79 Revda 192 Kronstadt 147 Kirs 109 Yelets 126 Beloyarsky 120 Petrovsk-Zabaykalsky 120 Korablino 120 Severo-Kurilsk 21 
Meleuz 9	Yelabuga 101 Tynda 18 Gukovo 122 Bolokhovo 69 Danilov 94 Shatsk 110 Uchaly 42 Achinsk 161 Bogorodsk 172 
Pereslavl-Zalessky 8	Ust-Katav 173 Budyonnovsk 187 Bilibino 186 Bogdanovich 82 Ulan-Ude 111 Svirsk 183 Dedovsk 123 Chernogorsk 63 
Sol-Iletsk 9	Mednogorsk 32 Yaransk 73 Temnikov 58 Krasnoufimsk 17 Shatura 74 Krasnoturyinsk 175 MariinskyPosad 96 Shumikha 179 Ivangorod 115 
Zernograd 7	Kalach-na-Donu 199 Alexandrov 89 Iskitim 136 Shlisselburg 90 Novorzhev 108 Armavir 133 Shali 117 
Bronnitsy 8	Yuryev-Polsky 149 Uglegorsk 79 Nalchik 143 Kirovsk 102 Arzamas 84 Georgiyevsk 71 Anzhero-Sudzhensk 102 Primorsk 55 
Nelidovo 7	Ust-Katav 136 Kharovsk 61 Irbit 115 Syzran 145 Krasnogorsk 133 Tsimlyansk 11 Petropavlovsk-Kamchatsky 49 
Valuyki 8	Uglich 83 Bogdanovich 85 Krasavino 61 Magnitogorsk 88 Leninsk-Kuznetsky 47 Gavrilov-Yam 79 Adygeysk 123 Nyandoma 55 
Abakan 6	Alexandrovsk 174 Nerchinsk 139 Beloyarsky 176 Yegoryevsk 154 Manturovo 151 Mirny 177 
Komsomolsk 8	Manturovo 36 Chusovoy 119 Bikin 176 Khabarovsk 99 Kandalaksha 135 Novozybkov 128 Shchyolkovo 88 Ust-Labinsk 85 
Volodarsk 6	Kovylkino 67 Vesyegonsk 172 Kamensk-Uralsky 115 Ryazan 25 Dalnerechensk 169 Birsk 187 
Verkhoturye 10	Tryokhgorny 79 Volzhsk 171 Cherdyn 41 Insar 171 Novoulyanovsk 78 Kirovo-Chepetsk 168 Kovdor 19 Cherepovets 132 VelikiyeLuki 108 Gremyachinsk 32 
Aznakayevo 9	Urzhum 187 Leninogorsk 85 Asbest 32 Timashyovsk 76 Abaza 128 Klin 60 Usman 121 VyshnyVolochyok 90 Elektrougli 95 
Achinsk 11	Meleuz 161 Chernushka 64 Zhukovka 197 Temnikov 90 Zavolzhsk 64 Vorsma 52 Tavda 29 Balashikha 165 Cheremkhovo 185 Zakamensk 13 Krasnozavodsk 55 
Oktyabrsky 9	Kasli 86 Stupino 41 Olyokminsk 56 Yuryuzan 77 Topki 32 Kharabali 113 NaberezhnyeChelny 177 Georgiyevsk 138 Liski 113 
Ozyorsk 8	Artyom 86 Iskitim 137 Yekaterinburg 120 Orsk 40 Davlekanovo 137 Petropavlovsk-Kamchatsky 185 Tarko-Sale 36 Pochep 122 
Belousovo 11	Volgorechensk 69 Nizhnevartovsk 190 Isilkul 111 Abaza 129 Polysayevo 27 Bratsk 191 Budyonnovsk 140 Ramenskoye 24 Kirensk 87 Tyumen 141 Kirovgrad 121 
Zheleznogorsk 6	Kashin 87 Uray 120 Vilyuysk 155 PavlovskyPosad 164 Sokolniki 59 Fryazino 45 
Slobodskoy 8	Ust-Labinsk 59 Bilibino 144 Cherdyn 193 Yoshkar-Ola 70 Aksay 143 Ust-Katav 84 SovetskayaGavan 162 Zakamensk 77 
Nyazepetrovsk 2	Chernogolovka 119 Klimovsk 83 
Bagrationovsk 7	Aprelevka 189 Nikolsk 142 Gornyak 136 Kuznetsk 81 Biryusinsk 75 Soligalich 76 Khotkovo 32 
Mglin 11	NizhnyayaTura 120 Kansk 142 KrasnyKut 179 Klintsy 158 Syktyvkar 155 Shlisselburg 192 DagestanskiyeOgni 62 Kamensk-Uralsky 130 Zavitinsk 135 Navashino 135 Borovsk 115 
Semyonov 5	Asbest 127 Dzerzhinsk 145 Livny 124 Partizansk 35 MariinskyPosad 64 
Lomonosov 7	KrasnySulin 114 Kimovsk 92 Dedovsk 126 Grayvoron 46 Puchezh 124 Ishimbay 139 Osa 184 
Zapolyarny 7	Gus-Khrustalny 182 Asbest 31 Izhevsk 194 Tobolsk 78 Yubileyny 190 Novosokolniki 195 Minyar 162 
Belgorod 5	Kurchatov 116 Ivanovo 80 Udomlya 134 NizhnyNovgorod 82 Inza 184 
Kotelniki 12	Yeysk 96 Yuzhno-Sukhokumsk 48 Kimovsk 42 Chudovo 27 StaryOskol 124 Zavolzhsk 25 Chukhloma 83 Nefteyugansk 82 Ivdel 177 Usman 148 Bakal 200 Gukovo 75 
Protvino 6	LodeynoyePole 148 Onega 140 Nurlat 182 Urzhum 24 Ryazan 151 Salavat 164 
Svirsk 8	Slyudyanka 127 Gryazovets 159 Yeysk 100 Pereslavl-Zalessky 183 Danilov 33 Lyantor 38 Vereya 139 MineralnyeVody 15 
Dalnerechensk 10	Nizhnevartovsk 15 Volodarsk 169 Krasnogorsk 10 Fatezh 155 Nefteyugansk 69 Tyrnyauz 133 Ak-Dovurak 100 Omutninsk 52 Neryungri 92 Yakhroma 115 
Beloyarsky 15	Arsk 120 Kursk 130 Shuya 83 Yoshkar-Ola 127 Klintsy 195 Kungur 42 Safonovo 134 Gorbatov 146 VerkhnyUfaley 100 Elektrogorsk 73 Abakan 176 Unecha 163 Turinsk 121 Tula 105 Pokrov 26 
Bobrov 12	Zaozyorny 165 Shakhtyorsk 26 Severo-Kurilsk 104 Svetogorsk 153 Dalnegorsk 112 Alexandrov 159 Yoshkar-Ola 71 Novorzhev 126 Dankov 98 Rylsk 126 Orekhovo-Zuyevo 132 Kurganinsk 139 
Omutninsk 11	Golitsyno 109 Kambarka 134 Puchezh 70 Abaza 53 Dalnerechensk 52 Lensk 22 Volzhsky 185 Slavgorod 25 Rylsk 174 Vetluga 180 Yelabuga 30 
SukhoyLog 2	Zavitinsk 106 Kamen-na-Obi 172 
Tosno 4	Rzhev 149 Krasavino 182 Bryansk 144 Mosalsk 24 
Rybnoye 6	Gornozavodsk 42 Berezovsky 16 Barabinsk 51 Murom 17 Nikolayevsk-on-Amur 42 Slyudyanka 178 
GoryachyKlyuch 11	Vilyuysk 74 Suoyarvi 197 Birsk 29 Volgorechensk 145 Borovsk 19 Pokrovsk 158 Yuzhno-Sukhokumsk 45 Dno 162 Sukhinichi 82 Belovo 44 Chekalin 38 
Unecha 10	Blagoveshchensk 136 Chebarkul 75 Vereshchagino 173 Beloyarsky 163 Perevoz 155 Navoloki 189 Kropotkin 21 Zavolzhye 143 Blagodarny 168 Noginsk 89 
Sayanogorsk 11	Derbent 16 PolyarnyeZori 131 Borovichi 199 Berezniki 48 Yuryuzan 121 Neftegorsk 136 Livny 139 Rybinsk 114 Usolye 24 Nazarovo 109 Kumertau 116 
Lyudinovo 12	Cherepovets 65 Kuvshinovo 187 Olyokminsk 61 Gorokhovets 75 Rylsk 115 Yanaul 10 Novouzensk 133 Susuman 198 Novorzhev 11 Shumikha 151 Vyazma 14 Borisoglebsk 193 
Chudovo 7	Biryuch 96 Raduzhny 195 Digora 193 Alapayevsk 36 Kotelniki 27 Kiselyovsk 27 Kirishi 154 
Chernushka 11	Chkalovsk 12 Leninogorsk 125 Agidel 103 Volchansk 103 Osinniki 69 Kolomna 28 Mikhaylovka 155 Achinsk 64 Perevoz 57 Miass 32 Totma 119 
Ust-Kut 11	Kolpino 20 Pustoshka 38 Uren 165 Spas-Demensk 64 Solikamsk 200 Izberbash 70 Divnogorsk 44 Myshkin 151 SosnovyBor 11 Yakhroma 90 Ukhta 139 
Kharovsk 12	Mamadysh 109 Gelendzhik 169 Dzerzhinsk 179 Pokachi 142 Kanash 95 Kartaly 149 Soltsy 197 Nelidovo 61 Kubinka 117 Pochep 34 Krasnoyarsk 71 Podporozhye 148 
Zhirnovsk 6	Derbent 102 Kameshkovo 124 Glazov 43 Galich 36 Khabarovsk 85 Neftekamsk 177 
Sharypovo 7	Kireyevsk 197 Kronstadt 71 Nytva 81 Makhachkala 44 Poronaysk 141 Bezhetsk 158 Katav-Ivanovsk 157 
Dolinsk 10	Luga 180 Volgodonsk 156 Revda 11 Novotroitsk 123 Petukhovo 69 Murmansk 196 Kostomuksha 117 Shlisselburg 58 Menzelinsk 150 Lesozavodsk 83 
Privolzhsk 3	Kaltan 82 Revda 130 NovyUrengoy 54 
Krasnokamsk 6	Kokhma 80 Boksitogorsk 103 Klin 189 Tatarsk 179 Karachayevsk 135 Kurganinsk 152 
Anadyr 7	Yubileyny 191 Dimitrovgrad 59 VyatskiyePolyany 145 Olonets 197 Korocha 154 Kosteryovo 159 Kadnikov 44 
Kizel 9	Shatura 199 Kopeysk 67 Kronstadt 88 Gudermes 57 Nazran 88 Svetlograd 50 Tsimlyansk 11 Chita 145 Lukhovitsy 116 
Slavyansk-na-Kubani 6	Orsk 122 Novorossiysk 165 Severodvinsk 152 PetrovVal 33 Murmansk 82 Perevoz 153 
